Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
1,a a,a a,,,,啊,"""Ah"" (intejection of agreement, surprise)"
2,aba,aba,aba,ᠠᠪᠠ,2,打围,"hunt, roundup hunt"
3,acem,aʈʂɯm,acimbi,ᠠᠴᡳᠮᠪᡳ,3,驮带,"to pack, to load"
4,acem,aʈʂɯm,acambi,ᠠᠴᠠᠮᠪᡳ,4,合,"to meet, to join"
5,acenem,aʈʂɯnɯm,acanambi,ᠠᠴᠠᠨᠠᠮᠪᡳ,5,对,to match; to fit; to suit
6,acevem,aʈʂɯvɯm,acabumbi,ᠠᠴᠠᠪᡠᠮᠪᡳ,6,使合,causative form of acam (= acambi)
7,achen,aʈʂχɯn,aciha,ᠠᠴᡳᡥᠠ,7,驮物,items carried on an animal
8,adaky,adakʲ,adaki,ᠠᡩᠠᡴᡳ,8,邻,"adjacent, next to, neighboring"
9,adalyXem,adalʲʂɯm,adalixambi,ᠠᡩᠠᠯᡳᡧᠠᠮᠪᡳ,9,相同,"to resemble, to be like, to be similar"
10,adulm,aduɹm,adulambi,ᠠᡩᡠᠯᠠᠮᠪᡳ,10,放牧,to pasture/graze
11,adun,adun,adun,ᠠᡩᡠᠨ,11,群 ,"herd, flock"
12,aekim,ækim,akimbi,ᠠᡴᡳᠮᠪᡳ,12,熏,to smoke (meat)
13,aekivem,ækivɯm,akibumbi,ᠠᡴᡳᠪᡠᠮᠪᡳ,13,使熏,causative form of aekim (= akimbi)
14,aelVin,æɹɣin,elgiyen,ᡝᠯᡤᡳᠶᡝᠨ,14,丰富,"plentiful, abundant"
15,aelVin,æɹɣin,algin,ᠠᠯᡤᡳᠨ,15,声誉,reputation/fame
16,aelViXem,æɹɣiʂɯm,algixambi,ᠠᠯᡤᡳᡧᠠᠮᠪᡳ,16,传声誉,to have one's reputation spread; to be well-known
17,aemim,æmim,omimbi,ᠣᠮᡳᠮᠪᡳ,17,喝,to drink
18,aenem,ænɯm,ainambi,ᠠᡳᠨᠠᠮᠪᡳ,18,干什么,to do what
19,aerk,ærk,arki,ᠠᡵᡴᡳ,19,烧酒,distilled liquor or spirits
20,aesk,æsk,asuki,ᠠᠰᡠᡴᡳ,20,动静,"(noticeable) movement, activity"
21,aevi,ævi,aibi,ᠠᡳᠪᡳ,21,什么地方,what place
22,aevi deri,ævi dɯri,aibi deri,ᠠᡳᠪᡳ ᡩᡝᡵᡳ,22,从什么地方,from what place
23,aevid,ævid,aibi de,ᠠᡳᠪᡳ ᡩᡝ,23,在什么地方,Where
24,afem,afɯm,afambi,ᠠᡶᠠᠮᠪᡳ,24,打仗,"to fight a battle, to go to war"
25,afendum,afɯndum,afandumbi,ᠠᡶᠠᠨᡩᡠᠮᠪᡳ,25,对战,to battle
26,afh ,afχ,abdaha,ᠠᠪᡩᠠᡥᠠ,26,叶,leaf
27,afqa,afqa,abka,ᠠᠪᡴᠠ,27,天,"heaven, sky, weather, day"
28,afqa jaqerem,afqa ɖʐaqɯrɯm,abka jakarambi,ᠠᠪᡴᠠ ᠵᠠᡴᠠᡵᠠᠮᠪᡳ,28,天刚亮,to dawn
29,afqai bira ,afqaj bira,abkai bira,ᠠᠪᡴᠠᡳ ᠪᡳᡵᠠ,29,天河,the Milky Way
30,afsy,afsʲ,absi,ᠠᠪᠰᡳ,30,怎么样,"how, in what manner"
31,age,aɡɯ,age,ᠠᡤᡝ,31,哥哥,"elder brother, elder male"
32,ageni,aɡɯni,age ningge,ᠠᡤᡝ ᠨᡳᠩᡤᡝ,32,他哥,husband's elder brother
33,agu,aɡu,agu,ᠠᡤᡠ,33,君,"honorific form for men, sir, master (= ""gentleman"")"
34,ah,aχ,aha,ᠠᡥᠠ,34,仆人,servant
35,ahsem,aχsɯm,aksambi,ᠠᡴᠰᠠᠮᠪᡳ,35,戴,to put on
36,ahsum,aχsum,aksumbi,ᠠᡴᠰᡠᠮᠪᡳ,36,烟呛,(from smoke) to choke
37,ai ,aj,ai,ᠠᡳ,37,什么,what
38,aicim,ajtɕim,acimbi,ᠠᠴᡳᠮᠪᡳ,38,动,"to move, to start"
39,aiciNgyam,ajtɕiŋɡʲam,acinggiyambi,ᠠᠴᡳᠩᡤᡳᠶᠠᠮᠪᡳ,39,"动, 感动","to move, to be touching"
40,aiciNgyavem,ajtɕiŋɡʲavɯm,acinggiyabumbi,ᠠᠴᡳᠩᡤᡳᠶᠠᠪᡠᠮᠪᡳ,40,"使动, 被感动",causative/passive form of aiciNgyavem (= acinggiyabumbi)
41,aicivem,ajtɕivɯm,acibumbi,ᠠᠴᡳᠪᡠᠮᠪᡳ,41,使动,causative form of aicim (= acimbi)
42,aifini,ajfini,ai fon i,ᠠᡳ ᡶᠣᠨ ᡳ,42,老早,a long time ago
43,aiqa,ajqa,aika,ᠠᡳᡴᠠ,43,如果,"if, whether"
44,aiqabad,ajqabad,aika bade,ᠠᡳᡴᠠ ᠪᠠᡩᡝ,44,如果是,"if, in the case that"
45,aiRum,ajʁum,aihvma,ᠠᡳᡥᡡᠮᠠ,45,雄龟,male turtle
46,aisilm,ajɕiɹm,aisilambi,ᠠᡳᠰᡳᠯᠠᠮᠪᡳ,46,帮助,to help/aid
47,aisin,ajɕin,aisin,ᠠᡳᠰᡳᠨ,47,金,gold
48,aisin faen,ajɕin fæn,aisin fiyan,ᠠᡳᠰᡳᠨ ᡶᡳᠶᠠᠨ,48,金色,golden color
49,aisy,ajsʲ,aisi,ᠠᡳᠰᡳ,49,利益,profit
50,aitem,ajtɯm,aitumbi,ᠠᡳᡨᡠᠮᠪᡳ,50,活了,"to come back to life, to revive"
51,aitevem,ajtɯvɯm,aitubumbi,ᠠᡳᡨᡠᠪᡠᠮᠪᡳ,51,救,"(causative form of aitem (= aitumbi)) to save, to revive, to bring back to life"
52,aitiN,ajtiŋ,atanggi,ᠠᡨᠠᠩᡤᡳ,52,什么时候,when
53,ajarRen,aɖʐarʁɯn,ajargan,ᠠᠵᠠᡵᡤᠠᠨ,53,公马,stallion
54,aji bo,adʒi bɔ,ajige boo,ᠠᠵᡳᡤᡝ ᠪᠣᠣ,54,小家,"small house, dwelling"
55,aji deVame,adʒi dɯɣamɯ,,,,小姨夫,mother's younger sister's husband
56,aji deVeme,adʒi dɯɣɯmɯ,aji deheme,ᠠᠵᡳ ᡩᡝᡥᡝᠮᡝ,56,小姨妈,mother's younger sister
57,aji ece,adʒi ɯʈʂɯ,aji ecike,ᠠᠵᡳ ᡝᠴᡳᡴᡝ,57,小叔,husband's younger brother
58,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,58,婶子,father's younger brother's wife
59,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,59,婶子,husband's younger brother's wife
60,aji gufu,adʒi ɡufu,ajige gufu,ᠠᠵᡳᡤᡝ ᡤᡠᡶᡠ,60,小姑父,father's younger sister's husband
